row,legacy_url,title,brand,match_method,ad_id
24,/advert/marks-%26-spencer/5-4-3-2-1,5-4-3-2-1,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
70,/advert/marks-%26-spencer/a-denim-love-affair,A Denim Love Affair,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
119,/advert/tesco/i've-got-the-power,I've Got The Power,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
139,/advert/tesco/stronger-starts,Stronger Starts,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
148,/advert/news-of-the-world/kerry-%26-bev-exclusive,Kerry & Bev Exclusive,News Of The World,brand_year_unique,ea6c7bf2-1804-4a4f-a99e-fe3164f7047c
149,/advert/warner-bros/batman-v-superman---dawn-of-justice,Batman V Superman - Dawn Of Justice,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
218,/advert/tesco/top-christmas-toys,Top Christmas Toys,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
220,/advert/tesco/jersey-royal-potatoes,Jersey Royal Potatoes,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
257,/advert/warner-bros/how-to-be-single,How To Be Single,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
279,/advert/marks-%26-spencer/a-rainbow-of-cashmere,A Rainbow Of Cashmere,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
295,/advert/tesco/keeping-christmas-special---beer-%26-cider,Keeping Christmas Special - Beer & Cider,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
327,/advert/tesco/keeping-christmas-special---turkey,Keeping Christmas Special - Turkey,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
331,/advert/warner-bros/horrible-bosses,Horrible Bosses,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
338,/advert/warner-bros/lights-out,Lights Out,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
345,/advert/tesco/lowering-brands,Lowering Brands,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
371,/advert/hmv/merry-christmas,Merry Christmas,HMV,external_id,92847a8f-18f7-4274-aa0d-cf2d3a1a5a23
444,/advert/warner-bros/cats-%26-dogs---the-revenge-of-kitty-galore,Cats & Dogs - The Revenge Of Kitty Galore,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
447,/advert/warner-bros/get-smart,Get Smart,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
503,/advert/marks-%26-spencer/free-prosecco-rose,Free Prosecco Rose,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
515,/advert/warner-bros/cats-%26-dogs---paws-unite!,Cats & Dogs - Paws Unite!,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
532,/advert/john-lewis/anyday,Anyday,John Lewis,brand_year_unique,642e8cfa-a4cd-4e32-aabb-94fb28ba0cdb
576,/advert/formula-1/fia-2009-championship-dvd,FIA 2009 Championship DVD,Formula 1,external_id,4214cf23-cdb9-48d4-b99d-50b22cd0de47
583,/advert/warner-bros/ready-player-one,Ready Player One,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
587,/advert/news-of-the-world/jo,Jo,News Of The World,brand_year_unique,ea6c7bf2-1804-4a4f-a99e-fe3164f7047c
604,/advert/xbox-360/the-beatles-rockband,The Beatles Rockband,Xbox 360,external_id,3517d396-f189-4a17-8b1a-65212afc04ab
608,/advert/marks-%26-spencer/apple-pie-%26-custard,Apple Pie & Custard,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
625,/advert/tesco/stronger-starts,Stronger Starts,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
644,/advert/tesco/20-per-cent-off-clothing,20 Per Cent Off Clothing,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
695,/advert/ministry-of-sound/anthems-acoustic,Anthems Acoustic,Ministry Of Sound,brand_year_unique,73562224-af74-4ed8-8a46-6d571eee46d5
728,/advert/warner-bros/harry-potter-%26-the-order-of-the-phoenix,Harry Potter & The Order Of The Phoenix,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
787,/advert/ministry-of-sound/anthems---disco,Anthems - Disco,Ministry Of Sound,brand_year_unique,73562224-af74-4ed8-8a46-6d571eee46d5
819,/advert/tesco/bolognese-sauce,Bolognese Sauce,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
824,/advert/tesco/open-boxing-day,Open Boxing Day,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
829,/advert/tesco/butcher's-choice-bangers,Butcher's Choice Bangers,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
837,/advert/sunday-mirror/commemorative-dvd-%26-front-pages,Commemorative DVD & Front Pages,Sunday Mirror,brand_year_unique,141ebb07-c7e7-4574-b544-aacecdfdec5b
843,/advert/warner-bros/the-secrets-of-dumbledore,The Secrets Of Dumbledore,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
864,/advert/tesco/mother's-day---3-for-%EF%BF%BD10,Mother's Day - 3 For �10,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
910,/advert/lancome/genifique,Genifique,Lancome,external_id,554fc4a7-8510-4d6e-9db6-62ba05dbf93c
914,/advert/sunday-mirror/kate-%26-wills---the-first-year,Kate & Wills - The First Year,Sunday Mirror,brand_year_unique,141ebb07-c7e7-4574-b544-aacecdfdec5b
927,/advert/warner-bros/the-accountant-2,The Accountant 2,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
947,/advert/marks-%26-spencer/t'is-the-season-for-all-day-feasting,T'is The Season For All Day Feasting,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
1017,/advert/news-of-the-world/britney-spears-shocking-pictures,Britney Spears Shocking Pictures,News Of The World,brand_year_unique,ea6c7bf2-1804-4a4f-a99e-fe3164f7047c
1042,/advert/xbox-360/lips%3A-number-one-hits,Lips: Number One Hits,Xbox 360,brand_year_unique,cd10ce7a-dc7e-4d5e-9cc7-2d80c419be3b
1098,/advert/hewlett-packard/dm3-notebook-pc,DM3 Notebook PC,Hewlett Packard,external_id,dc0c5a6a-bd57-4eb4-a7cd-18ce771cce6e
1125,/advert/lg/steam-washer,Steam Washer,LG,brand_year_unique,848668f5-29bc-45d0-b898-7df0d47e227a
1133,/advert/tesco/valentine's-for-a-fiver,Valentine's For A Fiver,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1166,/advert/marks-%26-spencer/christmas-belles,Christmas Belles,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
1176,/advert/lg/seamless-entertainment,Seamless Entertainment,LG,brand_year_unique,848668f5-29bc-45d0-b898-7df0d47e227a
1183,/advert/marks-%26-spencer/terribly-clever---tomato-%26-rosemary-tray-bake,Terribly Clever - Tomato & Rosemary Tray Bake,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
1210,/advert/tesco/sony-bravia-tv,Sony Bravia TV,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1227,/advert/xbox-360/new-xbox-360,New Xbox 360,Xbox 360,brand_year_unique,cd10ce7a-dc7e-4d5e-9cc7-2d80c419be3b
1235,/advert/warner-bros/beowulf,Beowulf,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
1239,/advert/burger-king/the-taste,The Taste,Burger King,external_id,f4b3f2af-e3ab-43ea-b956-049c6656ecee
1340,/advert/news-of-the-world/i'm-going-in!,I'm Going In!,News Of The World,brand_year_unique,ea6c7bf2-1804-4a4f-a99e-fe3164f7047c
1364,/advert/tesco/rainforest-alliance-chocolate,Rainforest Alliance Chocolate,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1386,/advert/warner-bros/american-sniper,American Sniper,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
1390,/advert/tesco/clubcard---the-power-to-lower-prices,Clubcard - The Power To Lower Prices,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1459,/advert/xbox-360/kinect-sports-season-2,Kinect Sports Season 2,Xbox 360,brand_year_unique,cd10ce7a-dc7e-4d5e-9cc7-2d80c419be3b
1476,/advert/hmv/box-sets,Box Sets,HMV,brand_year_unique,92847a8f-18f7-4274-aa0d-cf2d3a1a5a23
1480,/advert/tesco/back-to-school-bundle,Back To School Bundle,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1495,/advert/tesco/christmas-2014---toys,Christmas 2014 - Toys,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1507,/advert/tesco/spice-girls-christmas-dinner,Spice Girls Christmas Dinner,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1510,/advert/john-lewis/then-now-always,Then Now Always,John Lewis,brand_year_unique,642e8cfa-a4cd-4e32-aabb-94fb28ba0cdb
1516,/advert/toshiba/t137-satellite,T137 Satellite,Toshiba,external_id,7f45eaf5-f418-433d-b781-a5695e1b05e1
1522,/advert/tesco/click-%26-collect---synchronize-watches,Click & Collect - Synchronize Watches,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1539,/advert/news-of-the-world/quiz-show,Quiz Show,News Of The World,brand_year_unique,ea6c7bf2-1804-4a4f-a99e-fe3164f7047c
1569,/advert/dolce-%26-gabbana/k,K,Dolce & Gabbana,brand_year_unique,132fe790-8177-40b4-ae73-8ec0e1e94cb8
1571,/advert/marks-%26-spencer/christmas-must-haves,Christmas Must Haves,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
1593,/advert/tesco/dawn-french---dear-fatty,Dawn French - Dear Fatty,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1608,/advert/carlsberg/karaoke-nights,Karaoke Nights,Carlsberg,brand_year_unique,2bcde095-d274-4305-b256-2056e48a70a7
1623,/advert/ministry-of-sound/the-chilled-house-session,The Chilled House Session,Ministry Of Sound,brand_year_unique,73562224-af74-4ed8-8a46-6d571eee46d5
1630,/advert/tesco/food-love-stories---jane's-fish-cakes,Food Love Stories - Jane's Fish Cakes,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1641,/advert/warner-bros/licence-to-wed,Licence To Wed,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
1642,/advert/dolce-%26-gabbana/the-only-one,The Only One,Dolce & Gabbana,brand_year_unique,132fe790-8177-40b4-ae73-8ec0e1e94cb8
1667,/advert/marks-%26-spencer/summer-2012---here-comes-the-sun,Summer 2012 - Here Comes The Sun,Marks & Spencer,brand_year_unique,58a3bdc0-49f5-49a9-9d38-0782bc51204f
1687,/advert/tesco/sport-for-schools-and-clubs,Sport For Schools And Clubs,Tesco,brand_year_unique,bd0438e3-e0d0-42b6-9051-f86431b0fb43
1697,/advert/warner-bros/august-rush,August Rush,Warner Bros,brand_year_unique,37d8a02b-c81c-4efe-8f28-7737ec39d5e4
1703,/advert/ministry-of-sound/guilty-pleasures,Guilty Pleasures,Ministry Of Sound,brand_year_unique,73562224-af74-4ed8-8a46-6d571eee46d5
