row,legacy_url,title,brand,match_method,ad_id,status,slug
371,/advert/hmv/merry-christmas,Merry Christmas,HMV,external_id,92847a8f-18f7-4274-aa0d-cf2d3a1a5a23,inserted,hmv/merry-christmas
576,/advert/formula-1/fia-2009-championship-dvd,FIA 2009 Championship DVD,Formula 1,external_id,4214cf23-cdb9-48d4-b99d-50b22cd0de47,inserted,formula-1/fia-2009-championship-dvd
604,/advert/xbox-360/the-beatles-rockband,The Beatles Rockband,Xbox 360,external_id,3517d396-f189-4a17-8b1a-65212afc04ab,inserted,xbox-360/the-beatles-rockband
910,/advert/lancome/genifique,Genifique,Lancome,external_id,554fc4a7-8510-4d6e-9db6-62ba05dbf93c,inserted,lancome/genifique
1098,/advert/hewlett-packard/dm3-notebook-pc,DM3 Notebook PC,Hewlett Packard,external_id,dc0c5a6a-bd57-4eb4-a7cd-18ce771cce6e,inserted,hewlett-packard/dm3-notebook-pc
1239,/advert/burger-king/the-taste,The Taste,Burger King,external_id,f4b3f2af-e3ab-43ea-b956-049c6656ecee,inserted,burger-king/the-taste
1516,/advert/toshiba/t137-satellite,T137 Satellite,Toshiba,external_id,7f45eaf5-f418-433d-b781-a5695e1b05e1,inserted,toshiba/t137-satellite
1865,/advert/jeremy-clarkson/duel,Duel,Jeremy Clarkson,external_id,766e98bf-5317-4a0b-9865-31f1b29c3b4b,inserted,jeremy-clarkson/duel
1961,/advert/asda/award-winning-whites,Award Winning Whites,Asda,external_id,2eedde31-e06d-4306-99cf-0f7f9b7efff1,inserted,asda/award-winning-whites
2082,/advert/sunday-mirror/world-cup-2010,World Cup 2010,Sunday Mirror,external_id,141ebb07-c7e7-4574-b544-aacecdfdec5b,inserted,sunday-mirror/world-cup-2010
2392,/advert/olay/regenerist-3-point-treatment-cream,Regenerist 3 Point Treatment Cream,Olay,external_id,9c40435b-133f-490b-97e6-614e1ff9597a,inserted,olay/regenerist-3-point-treatment-cream
2743,/advert/news-of-the-world/world-cup-2010,World Cup 2010,News Of The World,external_id,ea6c7bf2-1804-4a4f-a99e-fe3164f7047c,inserted,news-of-the-world/world-cup-2010
2774,/advert/schweppes/ginger-ale,Ginger Ale,Schweppes,external_id,c3737f87-71aa-4fa8-a8a0-360d0f647957,inserted,schweppes/ginger-ale
2994,/advert/avatar/the-game,The Game,Avatar,external_id,0b35057b-529c-4dc7-82dd-48cbf5605810,inserted,avatar/the-game
3254,/advert/try-another-language/spanish,Spanish,Try Another Language,external_id,f5352f5f-fc34-4691-8c0b-68f6114fdac8,inserted,try-another-language/spanish
3270,/advert/dfs/early-sale,Early Sale,DFS,external_id,f8c4e5ef-9cf7-4183-9b72-65849fb0cecc,inserted,dfs/early-sale
