row,legacy_url,title,brand,match_method
2,/advert/nfu-mutual/we-do-right-by-you,We Do Right By You,NFU Mutual,unmatched
3,/advert/strongbow/team-gb---let's-own-it,Team GB - Let's Own It,Strongbow,unmatched
4,/advert/e45/endless-moisture,Endless Moisture,E45,unmatched
5,/advert/microsoft/windows-7---no-worries,Windows 7 - No Worries,Microsoft,unmatched
6,/advert/birds-eye/green-cuisine---chicken-free-dippers,Green Cuisine - Chicken-Free Dippers,Birds Eye,unmatched
7,/advert/millennium-entertainment/the-necessary-death-of-charlie-countryman,The Necessary Death Of Charlie Countryman,Millennium Entertainment,unmatched
8,/advert/newnham-court-shopping-village/easter,Easter,Newnham Court Shopping Village,unmatched
9,/advert/htc/sensation-xl---feel-every-beat,Sensation XL - Feel Every Beat,HTC,unmatched
10,/advert/wii/mario-sports-mix,Mario Sports Mix,Wii,unmatched
11,/advert/warner-leisure-hotels/february-sale,February Sale,Warner Leisure Hotels,unmatched
12,/advert/lionsgate/absolutely-anything,Absolutely Anything,Lionsgate,unmatched
13,/advert/coca-cola/zero---the-date,Zero - The Date,Coca-Cola,unmatched
14,/advert/enterprise/brits-on-the-weekend,Brits On The Weekend,Enterprise,unmatched
15,/advert/sun/london-2012---beach-run,London 2012 - Beach Run,Sun,unmatched
16,/advert/dreamworks/captain-underpants---the-first-epic-movie,Captain Underpants - The First Epic Movie,Dreamworks,unmatched
17,/advert/kellogg's/rice-krispie-squares---krispiesville,Rice Krispie Squares - Krispiesville,Kellogg's,unmatched
18,/advert/pot-noodle/sticky-rib---nightclub,Sticky Rib - Nightclub,Pot Noodle,unmatched
19,/advert/slimthru/ideal-shape,Ideal Shape,Slimthru,unmatched
20,/advert/farm-foods/scampi-%26-chips,Scampi & Chips,Farm Foods,unmatched
21,/advert/muller/light---chocolate-fix,Light - Chocolate Fix,Muller,unmatched
22,/advert/nurofen/express---headache-%26-period-pain,Express - Headache & Period Pain,Nurofen,unmatched
23,/advert/santander/prosper,Prosper,Santander,unmatched
24,/advert/marks-%26-spencer/5-4-3-2-1,5-4-3-2-1,Marks & Spencer,unmatched
25,/advert/mcdonald's/bbq-chicken-snack-wrap,BBQ Chicken Snack Wrap,McDonald's,unmatched
26,/advert/virgin-holidays/we've-taken-off-everything---cruises,We've Taken Off Everything - Cruises,Virgin Holidays,unmatched
27,/advert/lemsip-max/all-night-tablets,All Night Tablets,Lemsip Max,unmatched
28,/advert/yazoo/just-another-day-with-yazoo,Just Another Day With Yazoo,Yazoo,unmatched
29,/advert/cat-stevens/the-very-best-of-cat-stevens,The Very Best Of Cat Stevens,Cat Stevens,unmatched
30,/advert/top-gear/sub-zero-driving-anthems,Sub Zero Driving Anthems,Top Gear,unmatched
31,/advert/pizza-hut-delivery/sexy-people---door,Sexy People - Door,Pizza Hut Delivery,unmatched
32,/advert/sainsbury's/merry-christmas,Merry Christmas,Sainsbury's,unmatched
33,/advert/comparethemarket.com/spot-the-difference,Spot The Difference,CompareTheMarket.com,unmatched
34,/advert/playstation/double-life,Double Life,Playstation,unmatched
35,/advert/aldi/we've-gone-totally-rio---tea,We've Gone Totally Rio - Tea,Aldi,unmatched
36,/advert/better-bathrooms/trick-or-treat,Trick Or Treat,Better Bathrooms,unmatched
37,/advert/thinkbox.tv/where-brands-get-their-breaks,Where Brands Get Their Breaks,Thinkbox.tv,unmatched
38,/advert/coral/mother-russia,Mother Russia,Coral,unmatched
39,/advert/booking.com/football-defeat,Football Defeat,Booking.com,unmatched
40,/advert/columbia/angels-%26-demons,Angels & Demons,Columbia,unmatched
41,/advert/tesco-mobile/unboxing,Unboxing,Tesco Mobile,unmatched
42,/advert/uswitch/broadband%2C-energy%2C-mobiles,"Broadband, Energy, Mobiles",Uswitch,unmatched
43,/advert/vauxhall/panoramic---astra,Panoramic - Astra,Vauxhall,unmatched
44,/advert/people/evil-women,Evil Women,People,unmatched
45,/advert/kia/cee'd---designed-to-change-your-mind,Cee'd - Designed To Change Your Mind,Kia,unmatched
46,/advert/asics/made-of-sport,Made Of Sport,Asics,unmatched
47,/advert/boots/christmas-2011---stakeout,Christmas 2011 - Stakeout,Boots,unmatched
48,/advert/homebase/bathrooms,Bathrooms,Homebase,unmatched
49,/advert/b%26q/transform-your-home,Transform Your Home,B&Q,unmatched
50,/advert/filippo-berio/olive-oil,Olive Oil,Filippo Berio,unmatched
51,/advert/searchlight-pictures/see-how-they-run,See How They Run,Searchlight Pictures,unmatched
52,/advert/michael-kiwanuka/love-%26-hate,Love & Hate,Michael Kiwanuka,unmatched
53,/advert/kayak/food-of-thailand,Food Of Thailand,Kayak,unmatched
54,/advert/danone/light-%26-free,Light & Free,Danone,unmatched
55,/advert/skechers/shape-ups,Shape-Ups,Skechers,unmatched
56,/advert/4-imprint-/promotional-products,Promotional Products,4 Imprint ,unmatched
57,/advert/vision-express/monkey-cage,Monkey Cage,Vision Express,unmatched
58,/advert/asda/mother's-day-plan,Mother's Day Plan,Asda,unmatched
59,/advert/shell/low-soot-fuel---kite-flying,Low Soot Fuel - Kite Flying,Shell,unmatched
60,/advert/valspar/chameleons,Chameleons,Valspar,unmatched
61,/advert/denplan/do-it-for-your-selfie,Do It For Your Selfie,DenPlan,unmatched
62,/advert/hyundai/i20---a-whole-lot-of-sense,i20 - A Whole Lot Of Sense,Hyundai,unmatched
63,/advert/wickes/red-pencil-prices,Red Pencil Prices,Wickes,unmatched
64,/advert/scrubs/series-6-dvd,Series 6 DVD,Scrubs,unmatched
65,/advert/halifax/walking-on-sunshine,Walking On Sunshine,Halifax,unmatched
66,/advert/william-hill/bingo-thrill,Bingo Thrill,William Hill,unmatched
67,/advert/direct-line/price-in-walnut,Price In Walnut,Direct Line,unmatched
68,/advert/groove-armada/greatest-hits,Greatest Hits,Groove Armada,unmatched
69,/advert/nintendo-3ds/lego-star-wars,Lego Star Wars,Nintendo 3DS,unmatched
70,/advert/marks-%26-spencer/a-denim-love-affair,A Denim Love Affair,Marks & Spencer,unmatched
71,/advert/mcdonald's/change-a-little%2C-change-a-lot,"Change A Little, Change A Lot",McDonald's,unmatched
72,/advert/danone/actimel---britain's-favourite,Actimel - Britain's Favourite,Danone,unmatched
73,/advert/aldi/piggybank,Piggybank,Aldi,unmatched
74,/advert/o2/free-roam-eu,Free Roam EU,O2,unmatched
75,/advert/san-miguel/it's-not-a-quick-beer,It's Not A Quick Beer,San Miguel,unmatched
76,/advert/argos/winter-toy-sale,Winter Toy Sale,Argos,unmatched
77,/advert/sunlife/welcome-to-life-after-50,Welcome To Life After 50,Sunlife,unmatched
78,/advert/first-direct/machines,Machines,First Direct,unmatched
79,/advert/veet/hydro-restor---ice-skating,Hydro Restor - Ice Skating,Veet,unmatched
80,/advert/morrisons/disney-collector-cards,Disney Collector Cards,Morrisons,unmatched
81,/advert/basf/essential-products,Essential Products,BASF,unmatched
82,/advert/prime-location.com/yellow,Yellow,Prime Location.com,unmatched
83,/advert/nhs/smokefree---stoptober,Smokefree - Stoptober,NHS,unmatched
